AGS,Name,mean_infections,median_infections,max_infections,min_infections
51700004004,Alpen,1378.53333333333,1336.5,1991,1058
55660004004,Altenberge,1296.3,1282,1737,911
59740004004,Anröchte,1961.76666666667,1922,2454,1578
57740040040,Bad Wünnenberg,2155.2,2134.5,2705,1588
59740008008,Bad Sassendorf,1161.26666666667,1174,1495,754
59620008008,Balve,1358.66666666667,1393,1652,1045
51540004004,Bedburg-Hau,2647.66666666667,2654,3091,2232
59580008008,Bestwig,1760.5,1712.5,2366,1337
55580008008,Billerbeck,1686.3,1733,2098,1278
57740012012,Borchen,1963.3,1970.5,2322,1625
59660008008,Drolshagen,2119.76666666667,2043,2761,1576
59740012012,Ense,1641.8,1618.5,1994,1241
57660028028,Extertal,1379.5,1383,1850,999
53700008008,Gangelt,1650.73333333333,1608,2132,1289
55580020020,Havixbeck,1435.6,1442.5,1959,1025
57700016016,Hüllhorst,1645.83333333333,1638,2107,1390
55540032032,Isselburg,2857.5,2864.5,3373,2145
51540020020,Issum,1037.06666666667,1039,1433,698
53660024024,Kall,1414.06666666667,1431.5,1792,1045
51540028028,Kerken,1154.56666666667,1159,1530,888
59660016016,Kirchhundem,1818.13333333333,1841,2200,1422
51540040040,Kranenburg,2015.63333333333,1983,2597,1515
57660052052,Lügde,1667.06666666667,1708.5,2064,1112
57740028028,Lichtenau,1557.6,1517,1980,1032
53580036036,Linnich,1131.46666666667,1117.5,1450,908
59740024024,Lippetal,2161.06666666667,2173,2649,1392
55660056056,Mettingen,2596.83333333333,2607,3165,1847
59740032032,Möhnesee,1168.23333333333,1162,1530,854
53340020020,Monschau,1442.53333333333,1434.5,2055,1161
53740028028,Morsbach,2083.56666666667,2064.5,2774,1560
59620048048,Neuenrade,1198.5,1207,1731,808
53580052052,Nörvenich,862.233333333333,872,1136,630
55580036036,Olfen,1310.4,1269.5,1682,1042
55700032032,Ostbevern,1995.76666666667,2022,2770,1570
57700036036,Preußisch Oldendorf,1843.8,1809.5,2374,1315
55540040040,Raesfeld,2009.03333333333,2027,2693,1555
55660072072,Recke,2684,2629.5,3516,2094
51620028028,Rommerskirchen,998.666666666667,975.5,1375,739
55580040040,Rosendahl,1852.96666666667,1848,2306,1390
59740036036,Rüthen,1753.9,1707.5,2258,1326
53820052052,Ruppichteroth,1023.8,1022.5,1382,744
59620056056,Schalksmühle,805.666666666667,827,975,573
51700036036,Schermbeck,1435,1453,1757,1041
53660036036,Schleiden,1488.66666666667,1508.5,1939,878
53700024024,Selfkant,1432.76666666667,1443.5,1853,943
55700040040,Sendenhorst,2014.26666666667,1970,2719,1499
57620032032,Steinheim,1929.7,1950.5,2608,1389
55540064064,Velen,2220.5,2181,2730,1619
55700048048,Wadersloh,3076.53333333333,2978.5,4146,2321
51540064064,Weeze,1667.36666666667,1682,2134,1204
59740048048,Welver,1618.3,1608,2052,1200
57540052052,Werther,995.1,990.5,1198,765
55660092092,Westerkappeln,2142.63333333333,2193,2774,1388
59740056056,Wickede,1187.26666666667,1174,1637,780
59580048048,Winterberg,1894.5,1936.5,2222,1485
