AGS;Name;Geo_Code
051700004004;Alpen;2131
055660004004;Altenberge;2284
059740004004;Anröchte;2450
057740040040;Bad Wünnenberg;2390
059740008008;Bad Sassendorf;2451
059620008008;Balve;2418
051540004004;Bedburg-Hau;2088
059580008008;Bestwig;2406
055580008008;Billerbeck;2264
057740012012;Borchen;2383
059660008008;Drolshagen;2433
059740012012;Ense;2452
057660028028;Extertal;2360
053700008008;Gangelt;2194
055580020020;Havixbeck;2267
057700016016;Hüllhorst;2373
055540032032;Isselburg;2253
051540020020;Issum;2092
053660024024;Kall;2187
051540028028;Kerken;2094
059660016016;Kirchhundem;2435
051540040040;Kranenburg;2097
057660052052;Lügde;2366
057740028028;Lichtenau;2387
053580036036;Linnich;2165
059740024024;Lippetal;2455
055660056056;Mettingen;2297
059740032032;Möhnesee;2457
053340020020;Monschau;2152
053740028028;Morsbach;2209
059620048048;Neuenrade;2428
053580052052;Nörvenich;2169
055580036036;Olfen;2271
055700032032;Ostbevern;2315
057700036036;Preußisch Oldendorf;2378
055540040040;Raesfeld;2255
055660072072;Recke;2301
051620028028;Rommerskirchen;2121
055580040040;Rosendahl;2272
059740036036;Rüthen;2458
053820052052;Ruppichteroth;2236
059620056056;Schalksmühle;2430
051700036036;Schermbeck;2139
053660036036;Schleiden;2190
053700024024;Selfkant;2198
055700040040;Sendenhorst;2317
057620032032;Steinheim;2351
055540064064;Velen;2261
055700048048;Wadersloh;2319
051540064064;Weeze;2103
059740048048;Welver;2461
057540052052;Werther;2334
055660092092;Westerkappeln;2306
059740056056;Wickede;2463
059580048048;Winterberg;2416
