AGS;Name;Geo_Code
51700004004;Alpen;2131
55660004004;Altenberge;2284
59740004004;Anroechte;2450
57740040040;Bad Wuennenberg;2390
59740008008;Bad Sassendorf;2451
59620008008;Balve;2418
51540004004;Bedburg-Hau;2088
59580008008;Bestwig;2406
55580008008;Billerbeck;2264
57740012012;Borchen;2383
59660008008;Drolshagen;2433
59740012012;Ense;2452
57660028028;Extertal;2360
53700008008;Gangelt;2194
55580020020;Havixbeck;2267
57700016016;Huellhorst;2373
55540032032;Isselburg;2253
51540020020;Issum;2092
53660024024;Kall;2187
51540028028;Kerken;2094
59660016016;Kirchhundem;2435
51540040040;Kranenburg;2097
57660052052;Luegde;2366
57740028028;Lichtenau;2387
53580036036;Linnich;2165
59740024024;Lippetal;2455
55660056056;Mettingen;2297
59740032032;Moehnesee;2457
53340020020;Monschau;2152
53740028028;Morsbach;2209
59620048048;Neuenrade;2428
53580052052;Noervenich;2169
55580036036;Olfen;2271
55700032032;Ostbevern;2315
57700036036;Preussisch Oldendorf;2378
55540040040;Raesfeld;2255
55660072072;Recke;2301
51620028028;Rommerskirchen;2121
55580040040;Rosendahl;2272
59740036036;Ruethen;2458
53820052052;Ruppichteroth;2236
59620056056;Schalksmuehle;2430
51700036036;Schermbeck;2139
53660036036;Schleiden;2190
53700024024;Selfkant;2198
55700040040;Sendenhorst;2317
57620032032;Steinheim;2351
55540064064;Velen;2261
55700048048;Wadersloh;2319
51540064064;Weeze;2103
59740048048;Welver;2461
57540052052;Werther;2334
55660092092;Westerkappeln;2306
59740056056;Wickede;2463
59580048048;Winterberg;2416
